SEQ,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE,fecha_measure,hora,num_dia,num_dia_sem,nom_dia,mes_nombre,mes,trimestre,anio
0,1,2019-11-12T22:59:50.359977Z,RESPONSE,"",,,,,"",,2019-11-12,16,12,2,mar,nov,11,4,2019
1,1,2019-11-15T02:46:41.439965Z,RISK,"",,,,,"",,2019-11-15,20,14,4,jue,nov,11,4,2019
2,1,2019-11-15T22:14:50.533296Z,APPROVED,DIGITAL,0.4,1300,49,,"",,2019-11-15,16,15,5,vie,nov,11,4,2019
3,1,2020-01-15T05:08:23.368790Z,TXN,"",,,,434.112065759782,"",,2020-01-15,23,14,2,mar,ene,1,1,2020
4,2,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
5,3,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
6,4,2019-11-11T13:01:06.992774Z,RESPONSE,"",,,,,"",,2019-11-11,7,11,1,lun,nov,11,4,2019
7,4,2019-11-13T03:27:50.553850Z,RISK,"",,,,,"",,2019-11-13,21,12,2,mar,nov,11,4,2019
8,4,2019-11-13T20:49:54.204499Z,APPROVED,PLASTIC,0.32,10000,39,,"",,2019-11-13,14,13,3,mié,nov,11,4,2019
9,4,2019-11-16T20:00:52.712870Z,DELIVERED,"",,,,,11560,3,2019-11-16,14,16,6,sáb,nov,11,4,2019
10,4,2019-11-17T14:25:46.979789Z,TXN,"",,,,360.504173262901,"",,2019-11-17,8,17,7,dom,nov,11,4,2019
11,4,2019-11-17T16:22:22.093910Z,TXN,"",,,,175.06176472821,"",,2019-11-17,10,17,7,dom,nov,11,4,2019
12,4,2019-11-19T10:44:53.308176Z,TXN,"",,,,3719.61835378167,"",,2019-11-19,4,19,2,mar,nov,11,4,2019
13,4,2019-11-19T12:53:04.296365Z,TXN,"",,,,1171.0274908512,"",,2019-11-19,6,19,2,mar,nov,11,4,2019
14,5,2019-12-31T02:59:27.879591Z,RESPONSE,"",,,,,"",,2019-12-31,20,30,1,lun,dic,12,4,2019
15,5,2020-01-10T13:53:05.092397Z,RISK,"",,,,,"",,2020-01-10,7,10,5,vie,ene,1,1,2020
16,5,2020-01-11T11:27:30.705235Z,APPROVED,PLASTIC,0.46,15900,48,,"",,2020-01-11,5,11,6,sáb,ene,1,1,2020
17,5,2020-01-12T01:08:11.017536Z,DELIVERED,"",,,,,53100,0,2020-01-12,19,11,6,sáb,ene,1,1,2020
18,7,2019-11-15T16:37:24.668746Z,RESPONSE,"",,,,,"",,2019-11-15,10,15,5,vie,nov,11,4,2019
19,7,2019-11-19T19:46:35.822294Z,RISK,"",,,,,"",,2019-11-19,13,19,2,mar,nov,11,4,2019
20,7,2019-11-24T19:21:41.542157Z,REJECTED,USAGE,,,,,"",,2019-11-24,13,24,7,dom,nov,11,4,2019
21,8,2019-11-13T22:09:03.516854Z,RESPONSE,"",,,,,"",,2019-11-13,16,13,3,mié,nov,11,4,2019
22,8,2019-11-16T22:51:49.904784Z,RISK,"",,,,,"",,2019-11-16,16,16,6,sáb,nov,11,4,2019
23,8,2019-11-17T16:44:07.375862Z,APPROVED,PLASTIC,0.4,3300,42,,"",,2019-11-17,10,17,7,dom,nov,11,4,2019
24,8,2019-11-18T06:04:53.394269Z,DELIVERED,"",,,,,11560,2,2019-11-18,0,18,1,lun,nov,11,4,2019
25,10,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
26,11,2019-11-12T22:20:14.931514Z,RESPONSE,"",,,,,"",,2019-11-12,16,12,2,mar,nov,11,4,2019
27,11,2019-11-13T19:26:19.752230Z,RISK,"",,,,,"",,2019-11-13,13,13,3,mié,nov,11,4,2019
28,11,2019-11-15T10:00:23.882112Z,APPROVED,PLASTIC,0.32,49800,32,,"",,2019-11-15,4,15,5,vie,nov,11,4,2019
29,11,2019-11-17T04:55:00.537139Z,DELIVERED,"",,,,,64000,0,2019-11-17,22,16,6,sáb,nov,11,4,2019
30,11,2019-11-17T21:42:49.040496Z,TXN,"",,,,2201.97564541139,"",,2019-11-17,15,17,7,dom,nov,11,4,2019
31,11,2019-11-18T09:11:22.118755Z,TXN,"",,,,401.917335947676,"",,2019-11-18,3,18,1,lun,nov,11,4,2019
32,11,2019-11-18T23:36:26.292442Z,TXN,"",,,,45.0114730606293,"",,2019-11-18,17,18,1,lun,nov,11,4,2019
33,11,2019-11-21T00:53:34.713830Z,TXN,"",,,,2691.10828582972,"",,2019-11-21,18,20,3,mié,nov,11,4,2019
34,11,2019-12-04T11:41:00.687610Z,TXN,"",,,,911.978729895421,"",,2019-12-04,5,4,3,mié,dic,12,4,2019
35,12,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
36,14,2020-01-01T00:03:52.760650Z,RESPONSE,"",,,,,"",,2020-01-01,18,31,2,mar,dic,12,4,2019
37,14,2020-01-05T17:05:06.751162Z,RISK,"",,,,,"",,2020-01-05,11,5,7,dom,ene,1,1,2020
38,14,2020-01-06T05:32:10.744224Z,APPROVED,PLASTIC,0.31,2700,46,,"",,2020-01-06,23,5,7,dom,ene,1,1,2020
39,14,2020-01-10T08:17:29.456794Z,DELIVERED,"",,,,,11560,4,2020-01-10,2,10,5,vie,ene,1,1,2020
40,15,2019-11-11T19:18:53.948189Z,RESPONSE,"",,,,,"",,2019-11-11,13,11,1,lun,nov,11,4,2019
41,15,2019-11-14T03:29:50.023709Z,RISK,"",,,,,"",,2019-11-14,21,13,3,mié,nov,11,4,2019
